Full Name,Email Address,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Unnamed: 43,Unnamed: 44
Susan Sanchez,susan_sanchez@cornell.edu,Undergraduate student,"Panhellenic/Multicultural Greek Fraternal Council, Other",,,,,,,,2nd,5th,,,,,,,,,1st Choice,,,,,,3rd,,4th,,,,,,,,,Yes,"East Coast U.S., NYC area, Texas",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",Yes,School of Industrial and Labor Relations,"I’m Isabella Ireland, a senior in Cornell’s ILR School with minors in Business and Law & Society. I’m originally from San Antonio, and after graduating this spring, I’ll return to Rockefeller Capital Management in NYC to join the Strategic Partnerships & Community Impact team.",
Donald Perez,donald_perez@cornell.edu,PCCW member,,,Graduate students,1.0,,,,,,,,,,,,,,1st Choice,,,,,,2nd,,,,,3rd,4th,,5th,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers, Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",No,,"I'm a social entrepreneur, speaker and author who has changed careers 3 times! I spent 15 years in public policy at the intersection of public health and emergency management, completed a PhD, and started an online company, ProFellow, which I now run.",
Kelly Harris,kelly.harris@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,3rd,1st Choice,,,,,,2nd,4th,,,,,,,,,,,,,,,,,,,No,,No,,No,,"Leader with work experience at Google, McKinsey, small start-ups, and in healthcare. ",
Jeffrey Brown,j.brown36@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",3.0,,,,,2nd,1st Choice,,,,,,,,,3rd,,,4th,,,,,,,,,,,,,,No,,No,,Yes,"College of Human Ecology, Cornell Jeb E. Brooks School of Public Policy",,
Margaret Jenkins,margaretjenkins69@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,3,,,,3rd,,4th,,,,,,,1st Choice,2nd,,,,,,,,,,,,,,5th,,,Yes,"East Coast U.S., NYC area",No,,No,,,
Richard Cox,rcox@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",3.0,,,,,5th,4th,2nd,,,,,,1st Choice,,,,,,,,,,,,,,,,,3rd,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,College of Engineering,,
Anthony Lopez,a.lopez55@cornell.edu,Undergraduate student,First Gen,,,,,4th,,,2nd,,,,,,,5th,,3rd,1st Choice,,,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes, Networking",Yes,"College of Arts and Sciences, Cornell SC Johnson College of Business","I’m Zhuoran Zhao, an Economics major minoring in Business and Data Science. I’m interested in investment banking and also in sustainability and social impact. I’m eager to join programs or research aligned with these areas.",
Betty Wilson,b.wilson99@cornell.edu,Undergraduate student,Women's Leadership Initiative (WLI),,,,,3rd,,2nd,,,,,4th,,,,1st Choice,,,,,,5th,,,,,,,,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Engineering,"I'm a freshman intending on majoring in ChemE with a focus on computer optimization & big data analytics as well as a minor in ORIE. Currently, I'm looking to do undergrad research and graduate with an M.Eng in ChemE or Systems Eng through the Early Admit M.Eng program and go straight into industry.",
Donald Jenkins,donaldj@cornell.edu,PCCW member,,,Graduate students,1.0,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,2nd,,,,,,,Yes,West Coast U.S.,No,,Yes,"Cornell SC Johnson College of Business, MBA","I am a 1996 Cornell graduate, and obtained my MBA from Columbia Business School in 200, and am a CFA Charterholder.  I am currently Assistant Treasurer for Kaiser Permanente, the largest not-for-profit integrated health system in the US. Prior to joining KP I spent ten years in investment banking.",
Victoria Patel,vpatel@cornell.edu,Graduate student,,Other,,,,,,,,2nd,,,,3rd,,,,,,,,,,,,,,4th,1st Choice,,,5th,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",Yes,Cornell Jeb E. Brooks School of Public Policy,"Mouda is an MPA student at Cornell focused on systems thinking, public policy, and community-centered development, with a strong commitment to equity and access. She brings leadership and research experience, and is passionate about translating ideas into meaningful, real-world impact.",
George Perry,gperry@cornell.edu,PCCW member,,,Undergraduate students,1.0,,,,,,,,,,,,,,,,2nd,,,,,,,,,,,1st Choice,,,,,Yes,East Coast U.S.,Yes,"Work-Life Balance, Networking",Yes,College of Human Ecology,"After a 25 year career in healthcare public relations, I returned to graduate school and obtained a masters in mental health counseling. I am now in full-time private practice and treat individuals with a wide range of mental health concerns.  ",
Kathleen Price,kathleen.price@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,,,,,,,,,2nd,,3rd,,1st Choice,,,,,,,,4th,,5th,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, First Generation student guidance, Networking",Yes,"School of Veterinary Medicine, Graduate School Field of Study","Merelis Ortiz is pursuing her MPH in Food Systems and Health, applying systems thinking to bridge nutrition, food safety, and community engagement for equitable outcomes. She seeks global opportunities, advancing climate resiliency and exploring B Corps to launch a wellness-focused enterprise.",
Ryan Sanders,ryansanders97@cornell.edu,PCCW member,,,Graduate students,1.0,,3rd,,,,,,,,,,,,,,4th,,,,,,,,2nd,,,1st Choice,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, First Generation student guidance",No,,"I am a psychologist at Stanford University Counseling and Psychological Services.  I specialize in individual therapy for students at Stanford, and I also maintain a private practice, treating patients with a broad range of clinical concerns.   I attended Cornell as an undergrad.",
Helen Lewis,h.lewis9@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,1st Choice,,,,,,,3rd,,,,,,,,,,,,,,,,,,2nd,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Transitioning from academia to industry or navigating career changes",Yes,College of Arts and Sciences,"Hi! I am a 5th year PhD in Social Psychology, studying social status: how people think about it and how it affects behavior and well-being. I enjoy research and data analysis but I'm hoping for a career with real-world impact and work-life balance, so I'm considering industry options.",
Jerry Ross,j.ross50@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,4th,,1st Choice,3rd,,,,,,,,2nd,,,,,,,,,5th,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, International student guidance, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",No,,I am a fifth-year PhD student in Biomedical Engineering specializing in immuno-oncology. I am a lifelong learner exploring opportunities beyond academia particularly in consulting and private equity and would greatly value guidance on navigating corporate world as an international student. ,
Cynthia Wilson,cynthiawilson4@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,,,,,,,,,,,3rd,2nd,,,,,,,,,,,,1st Choice,,,,,,,No,,Yes,"Public Service and Non-Profit Careers, Transitioning from academia to industry or navigating career changes",Yes,College of Engineering,"I’m an engineer who studies renewable energy optimization in grad school and leads disability and neurodiversity advocacy on the side. I am disillusioned with corporate, academic, and government systems and looking for a career path that can maximize positive impact while combining my interests.",
Ronald Davis,ronald_davis@cornell.edu,Undergraduate student,Panhellenic/Multicultural Greek Fraternal Council,,,,,,,,1st Choice,3rd,4th,,,,,,,,,,,,,,,2nd,,,,,,,5th,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Networking",Yes,"Cornell SC Johnson College of Business, Nolan School of Hotel Administration","Hi! My name is Mikayla Tow and I am a current Sophomore student studying Hotel Administration and pursuing minors in Psychology and Real Estate. I am considering pursuing a career in marketing, real estate, or consulting, but I'm still trying to figure it out!",
Samantha Myers,samantha_myers@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,1st Choice,,,,,,,2nd,,,,,,,,,,4th,,,,,,3rd,5th,,,,,,Yes,"East Coast U.S., West Coast U.S., NYC area, Western Europe, Eastern Europe, UK, East Asia",Yes,"Navigating the workforce, Public Service and Non-Profit Careers, International student guidance, Transitioning from academia to industry or navigating career changes, Networking",Yes,School of Industrial and Labor Relations,"First-year PhD student in ILR studying how AI and digital platforms reshape work, inequality, and labor relations. I use computational methods and large-scale text analysis. Seeking guidance on building an interdisciplinary career and translating research on technology and work into broader impact.",
Jackson Mendoza,jacksonm@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",4.0,2,,,,,,,,,,,,,3rd,1st Choice,,,,,,,,,,,,,,,2nd,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, Networking",Yes,"College of Agriculture and Life Sciences, Charles H. Dyson School of Applied Economics and Management, College of Engineering",,
Edward Lopez,edward_lopez@cornell.edu,PCCW member,,,Graduate students,1.0,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers, First Generation student guidance, Networking",Yes,"College of Human Ecology, Weill Cornell Medicine (NYC), Weill Cornell Graduate School of Medical Sciences (NYC)",,
Mark Robinson,mark.robinson@cornell.edu,PCCW member,,,Graduate students,2.0,,,,,2nd,,,,,,,,,,5th,,,4th,3rd,,1st Choice,,,,,,,,,,,Yes,East Coast U.S.,No,,Yes,College of Arts and Sciences,,
Thomas Brown,thomas.brown@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",2.0,,,,,,,,,,,,,,,,2nd,,,,,,,,1st Choice,,,,,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce",No,,,
Noah Wood,noahwood15@cornell.edu,Undergraduate student,First Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), First Generation student guidance, Networking",Yes,College of Arts and Sciences,"Hi! My name is Nicky. I'm from Rochester, NY! ",
Larry King,lking@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,0,,,,1st Choice,,,,,,,,,3rd,4th,,,,,,2nd,,,,,,,,5th,,,Yes,"East Coast U.S., NYC area",No,,Yes,"The Samuel Curtis Johnson Graduate School of Management., Johnson Graduate School of Management, MBA, Cornell Law School",,
Joan Lewis,joan_lewis@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,No,,Yes,First Generation student guidance,Yes,College of Agriculture and Life Sciences,,
Isabella Smith,isabellas@cornell.edu,Graduate student,,Other,,,,4th,,,,1st Choice,,,,,,,,3rd,,5th,,,,,,,,,,,2nd,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Entrepreneurship and Startup Advice, International student guidance, Transitioning from academia to industry or navigating career changes, First Generation student guidance, Networking",No,,"Xinyi Deng is a PhD student in affective neuroscience. She researches on how decision-making interacts with affective symptoms at brain level using neuroimaging techniques. She is a Sage fellow, and won the 2025-2026 International Peace Scholarship and 2023 ABCT conference Student Poster Award. ",
Brian Brooks,brian_brooks@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC area",Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce",Yes,College of Arts and Sciences,,
Cynthia Lewis,clewis@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,No,,Yes,"Work-Life Balance, Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Public Service and Non-Profit Careers",No,,"Recently retired to my music, I have 36 years of experience in the Federal government in leadership positions in  both the headquarters and field levels of INS, DHS and USCIS. ",
Kimberly Peterson,kpeterson@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,2,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Networking",Yes,College of Arts and Sciences,"Marisa Dolled-Filhart, Ph.D. is a drug development and precision medicine leader, currently Global Team Leader at Daiichi Sankyo, leading oncology drug development teams. Her prior roles were at BMS, Merck, IQVIA and HistoRx. Marisa holds a B.A. from Cornell and a Ph.D. in Genetics from Yale.",
Joyce Nelson,joycen@cornell.edu,PCCW member,,,"Undergraduate students, Graduate students",1.0,,,,,,,,,,,,,,,,,,,,,2nd,,,,,,,1st Choice,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Public Service and Non-Profit Careers",Yes,College of Arts and Sciences,"I am  lawyer whose career has been a combination of government service, private law practice and internal general counsel work. I am also a mother and grandmother.",
Cynthia Richardson,c.richardson49@cornell.edu,Graduate student,,Graduate and Professional Students Assembly. (GPSA),,,,4th,,1st Choice,,,,,,,,,3rd,2nd,,,,,,,,,,5th,,,,,,,,No,,Yes,"Career guidance. (Note to Mentees: Cornell Career Services provides resume, interviewing and internship/job search strategies. Mentors can provide guidance on excelling in competitive recruitment processes, exploring options and making informed decisions.), Navigating the workforce, Entrepreneurship and Startup Advice, Transitioning from academia to industry or navigating career changes, Networking",Yes,College of Engineering,"Hi! My name is Alessandra, I'm a 1st year Biomedical Engineering PhD student at Cornell. As of now my interests lie in developing translational biomaterials and/or medical devices for tissue/wound repair.",
