Full Name,Email Address,Are you a/an,What is your level of student?,Your location/where you wish to be based,"Would you like your match to be based, in part, on your location?",Click all that apply (College/School),"Would you like your match to be based, in part, on your college?",What career advice areas would you like to focus on?,What organization are you affiliated with?,Are you willing to provide your cell phone number?,Please add your phone number (optional),Please provide a short 1-2 sentences that we will use to introduce you to your mentor/mentee. (300 character limit),Is there anything else you would like to share?,Which level of student do you wish to mentor?,How many mentees are you able to take on?,"Please rank your field of interest/expertise [Academia and research] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Architecture and urban planning] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Biotech, pharmaceutical, life sciences, and medical devices] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Business] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Consulting and strategy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Corporate and general management] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Creative fields] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Data and analytics] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Design] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Education] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Energy, sustainability and the environment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Engineering] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Entrepreneurship and startups] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Finance, investment and financial services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Health and wellness] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Hospitality] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Human resources] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [IT and technology] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Journalism, publishing and communications] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Law and legal services] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Marketing] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Media and entertainment] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Medicine and healthcare] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Non-profit and social enterprise] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Policy and advocacy] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Psychology and social work] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Public service and government] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Real estate] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Retail and consumer goods] (1 = highest priority, 5 = lowest)","Please rank your field of interest/expertise [Veterinary medicine] (1 = highest priority, 5 = lowest)"
Mila Sharma,milasharma72@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,College Of Arts And Sciences,No,"Transitioning From Academia To Industry Or Navigating Career Changes, Navigating The Workforce",Other,No,,"Aspiring Journalism, publishing and communications professional with interests in entrepreneurship and making a difference.",,,,,,,2,,,,,,3,,,,,,,,4,1 - Highest Priority,,,,,,,,,,,
Eva Rivera,evarivera97@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Cornell Law School,No,"International Student Guidance, Navigating The Workforce",Building Ourselves Through Sisterhood and Service (BOSS),No,,Cornell sophomore interested in Engineering and looking to explore career paths in community building.,I am a first-gen student and would appreciate any guidance.,,,,,,2,,,,,,3,,1 - Highest Priority,,,,,,,,,,,,,4,,,,,
Allison Vargas,allisonvargas84@outlook.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,College Of Engineering,No,"Career Guidance, Work-Life Balance",Women's Leadership Initiative (WLI),No,,Senior Entrepreneurship and startups professional with extensive experience in healthcare access.,Available on weekday evenings only.,Undergraduate,1.0,,,4,3,,,,,,,,,1 - Highest Priority,,,,,2,,,,,,,,,,,,
Amelia Nguyen,amelianguyen71@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,No,Johnson Graduate School Of Management,Yes,"Career Guidance, Navigating The Workforce, Networking",Graduate and Professional Students Assembly (GPSA),Yes,607-526-4305,Cornell junior interested in Veterinary medicine and looking to explore career paths in social impact.,Looking for someone in NYC area if possible.,,,,5 - Lowest Priority,3,,,,,,,,,,,4,,,,,,,,,2,,,,,,,1 - Highest Priority
Hazel Torres,hazeltorres72@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,No,Weill Cornell Medicine (NYC),No,"Networking, Career Guidance",Building Ourselves Through Sisterhood and Service (BOSS),Yes,607-890-5954,Currently pursuing a degree in Medicine and healthcare. Excited to connect with professionals in healthcare access.,,,,,,,,,,,,,,,,,,,,,3,,,,,1 - Highest Priority,,,2,,,,
Audrey Vasquez,audreyvasquez74@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,Yes,"College Of Architecture, Art, And Planning",Yes,"Navigating The Workforce, Career Guidance",Other,No,,I love IT and technology and hope to work in community building after graduation. Always eager to learn!,Looking for someone in NYC area if possible.,,,3,,,,,,,,,,,,,,,,,1 - Highest Priority,4,2,,,,,,,,5 - Lowest Priority,,
Natalie Gutierrez,nataliegutierrez83@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,The Peter And Stephanie Nolan School Of Hotel Administration,No,"Career Guidance, Navigating The Workforce",Women's Leadership Initiative (WLI),Yes,607-110-2076,"Passionate about Finance, investment and financial services with a growing interest in sustainability. Looking forward to mentorship.",Looking for someone in NYC area if possible.,,,,,,,,,,,,,,,,1 - Highest Priority,,,,,,2,,,,,,3,,,,
Skylar Brown,skylarbrown53@outlook.com,PCCW Mentor (Cornell Alum),,East Asia,Yes,College Of Engineering,Yes,"Navigating The Workforce, Public Service And Non-Profit Careers, Work-Life Balance",Other,No,,I've spent 12+ years in Entrepreneurship and startups and love mentoring the next generation in healthcare access.,Looking for someone in NYC area if possible.,Undergraduate,1.0,,,5 - Lowest Priority,4,,,,,,,,,1 - Highest Priority,,,,,3,,,,,2,,,,,,,
Gabriella Zhang,gabriellazhang35@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Weill Cornell Medicine (NYC),Yes,"Career Guidance, Networking, Navigating The Workforce",Graduate and Professional Students Assembly (GPSA),Yes,607-491-3974,Passionate about Education with a growing interest in tech for good. Looking forward to mentorship.,Available on weekday evenings only.,,,,,,4,,3,,,,1 - Highest Priority,,,,,,,,2,,,,,,,,,,,,
Jade Singh,jadesingh81@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Graduate School Field Of Study,Yes,"Career Guidance, Public Service And Non-Profit Careers",Cornell Tech,No,,Passionate about Entrepreneurship and startups with a growing interest in innovation. Looking forward to mentorship.,,,,,,,4,,5 - Lowest Priority,,,,,,,1 - Highest Priority,,,,,,,,,,2,,,3,,,,
Bella Dang,belladang37@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Asia,Yes,College Of Engineering,No,"Career Guidance, First Generation Student Guidance, Transitioning From Academia To Industry Or Navigating Career Changes",Other,No,,Passionate about Law and legal services with a growing interest in social impact. Looking forward to mentorship.,Available on weekday evenings only.,,,,,,,,,,,,,,3,,,,,,2,,1 - Highest Priority,,,,,,,,,,
Ellie Garcia,elliegarcia29@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,No,Johnson Graduate School Of Management,No,"First Generation Student Guidance, Work-Life Balance",Cornell Tech,Yes,607-321-4152,Aspiring IT and technology professional with interests in financial inclusion and making a difference.,Happy to meet once a month or more.,,,,4,,,,,,,,,,,,,2,,,1 - Highest Priority,,3,,,,,,,,,,
Adalynn Cruz,adalynncruz52@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,No,Graduate School Field Of Study,No,"Entrepreneurship And Startup Advice, Networking, Transitioning From Academia To Industry Or Navigating Career Changes",First Gen,Yes,607-377-4068,Passionate about Medicine and healthcare with a growing interest in policy reform. Looking forward to mentorship.,I am a first-gen student and would appreciate any guidance.,,,,,,,,,,,,,,4,,,,,3,2,,5 - Lowest Priority,,,1 - Highest Priority,,,,,,,
Isla Martinez,islamartinez96@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,College Of Engineering,No,Navigating The Workforce,Other,Yes,607-852-6892,"Aspiring Journalism, publishing and communications professional with interests in social impact and making a difference.",,,,,,,,,,,,,,,3,,,,,,2,1 - Highest Priority,4,,,5 - Lowest Priority,,,,,,,
Gabriella Clark,gabriellaclark01@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,Cornell Ann S. Bowers College Of Computing And Information Science,No,Networking,Cornell Tech,Yes,607-835-3376,Cornell first-year interested in Psychology and social work and looking to explore career paths in policy reform.,Happy to share my journey from undergrad to grad school.,,,,,,3,,,,,,,,,,2,,,,4,,,,,,,,1 - Highest Priority,,,,
Brooklyn Thomas,brooklynthomas20@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,No,Johnson Graduate School Of Management,Yes,Career Guidance,Other,No,,"Currently pursuing a degree in Finance, investment and financial services. Excited to connect with professionals in community building.",Prefer virtual meetings.,,,,,,,2,,,3,,,,,,1 - Highest Priority,4,,,,,,,,,,,,,,,
Vivian Robinson,vivianrobinson31@icloud.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,No,Weill Cornell Medicine (NYC),No,"Work-Life Balance, International Student Guidance",GenEq - Gender Equity Resource Center,Yes,212-173-5800,Senior Law and legal services professional with extensive experience in innovation.,Would love to connect with someone in the startup world.,Undergraduate,1.0,,,,,,,,,,,,,,,,4,,2,,1 - Highest Priority,,,,,,,,,,3
Kinsley Clark,kinsleyclark64@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,West Coast U.S.,Yes,Graduate School Field Of Study,No,Entrepreneurship And Startup Advice,Graduate and Professional Students Assembly (GPSA),Yes,607-778-2441,Cornell senior interested in Consulting and strategy and looking to explore career paths in financial inclusion.,Happy to meet once a month or more.,,,,,,4,1 - Highest Priority,,,,,,,2,,,,,,3,,5 - Lowest Priority,,,,,,,,,,
Eva Nelson,evanelson05@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,East Coast U.S.,Yes,Johnson Graduate School Of Management,No,"Career Guidance, Navigating The Workforce, Entrepreneurship And Startup Advice",GenEq - Gender Equity Resource Center,Yes,607-865-5601,"Passionate about Energy, sustainability and the environment with a growing interest in financial inclusion. Looking forward to mentorship.",Looking for someone in NYC area if possible.,,,,,,,,,,,,,1 - Highest Priority,2,3,,,,,,,4,,,,,,,,,,
Emily Mehta,emilymehta40@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,College Of Agriculture And Life Sciences,Yes,Networking,Cornell Tech,No,,I'm a junior studying Health and wellness at Cornell. I'm passionate about making an impact in sustainability.,Prefer virtual meetings.,,,4,,,,,,,,,,,,,2,1 - Highest Priority,,,5 - Lowest Priority,,3,,,,,,,,,,
Rylee Kim,ryleekim12@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Graduate School Field Of Study,Yes,"Work-Life Balance, Navigating The Workforce, Transitioning From Academia To Industry Or Navigating Career Changes",Graduate and Professional Students Assembly (GPSA),Yes,607-965-3170,Currently pursuing a degree in Business. Excited to connect with professionals in tech for good.,Looking for someone in NYC area if possible.,,,,,,1 - Highest Priority,,,,,,,,2,,,,,,3,5 - Lowest Priority,,,,,,,,,4,,
Victoria Dang,victoriadang42@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,South Asia,Yes,Cornell Tech (NYC),No,Career Guidance,Other,Yes,607-255-5915,I'm a sophomore studying Health and wellness at Cornell. I'm passionate about making an impact in social impact.,Prefer virtual meetings.,,,,,,,,,,,,,,2,3,,1 - Highest Priority,,,5 - Lowest Priority,,4,,,,,,,,,,
Hadley Rodriguez,hadleyrodriguez96@gmail.com,PCCW Mentor (Cornell Alum),,South Asia,Yes,Cornell Tech (NYC),No,Entrepreneurship And Startup Advice,GenEq - Gender Equity Resource Center,No,,"Senior Journalism, publishing and communications professional with extensive experience in entrepreneurship.",,Graduate,1.0,,,4,,,,,,,,,5 - Lowest Priority,,,,,,,1 - Highest Priority,3,,,,,,2,,,,
Arianna Chen,ariannachen17@cornell.edu,Undergraduate,Undergraduate,West Coast U.S.,Yes,"College Of Architecture, Art, And Planning",Yes,"Work-Life Balance, Transitioning From Academia To Industry Or Navigating Career Changes, International Student Guidance",Panhellenic/Multicultural Greek Fraternal Council,Yes,607-553-7576,I'm a first-year studying Data and analytics at Cornell. I'm passionate about making an impact in entrepreneurship.,Happy to meet once a month or more.,,,,,,2,,,,1 - Highest Priority,,,,,,,,,,,,3,,,,,,,,,,
Samantha Smith,samanthasmith85@gmail.com,PCCW Mentor (Cornell Alum),,Other,Yes,Cornell SC Johnson College Of Business,No,Career Guidance,Graduate and Professional Students Assembly (GPSA),Yes,212-955-9404,I've spent 20+ years in Corporate and general management and love mentoring the next generation in community building.,,Both,3.0,,,2,,,1 - Highest Priority,,,,,,,,3,,,,,,,,,,,,,,,,
Chloe Cruz,chloecruz13@outlook.com,PCCW Mentor (Cornell Alum),,NYC Area,Yes,Weill Cornell Medicine (NYC),Yes,"Career Guidance, Work-Life Balance",First Gen,Yes,212-204-1845,Senior Entrepreneurship and startups professional with extensive experience in healthcare access.,,Graduate,3.0,,,,2,,,,,,,,,1 - Highest Priority,,,,,,,4,,,,,,,3,,,
Clara Vo,claravo21@cornell.edu,Undergraduate,Undergraduate,East Coast U.S.,No,Cornell Jeb E. Brooks School Of Public Policy,Yes,"Career Guidance, Transitioning From Academia To Industry Or Navigating Career Changes, Work-Life Balance",GenEq - Gender Equity Resource Center,No,,"Currently pursuing a degree in Biotech, pharmaceutical, life sciences, and medical devices. Excited to connect with professionals in tech for good.",,,,,,1 - Highest Priority,4,,,,,,,,,,2,,,,,,3,,,,,,,,,,
Aubrey Vargas,aubreyvargas42@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,Yes,Graduate School Field Of Study,No,Work-Life Balance,Women's Leadership Initiative (WLI),No,,I'm a junior studying Real estate at Cornell. I'm passionate about making an impact in community building.,Happy to share my journey from undergrad to grad school.,,,,,2,,,,,,,,,5 - Lowest Priority,,,,,,3,,4,,,,,,,,1 - Highest Priority,,
Zoey White,zoeywhite03@cornell.edu,Undergraduate,Undergraduate,NYC Area,Yes,The Peter And Stephanie Nolan School Of Hotel Administration,Yes,"Transitioning From Academia To Industry Or Navigating Career Changes, Public Service And Non-Profit Careers",Women's Leadership Initiative (WLI),No,,Aspiring IT and technology professional with interests in diversity and inclusion and making a difference.,Looking for someone in NYC area if possible.,,,,,,,2,,,,,,,,,,,,,1 - Highest Priority,,3,,,,,,,,,,
Aubree Mehta,aubreemehta66@gmail.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,No,Cornell SC Johnson College Of Business,Yes,"Transitioning From Academia To Industry Or Navigating Career Changes, Navigating The Workforce",Cornell Tech,No,,"I've spent 12+ years in Journalism, publishing and communications and love mentoring the next generation in innovation.",Happy to meet once a month or more.,Undergraduate,3.0,,,2,3,,,,,,,,,,,,,,,1 - Highest Priority,4,,,,,,,,,,5 - Lowest Priority
Jade Patel,jadepatel00@gmail.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell SC Johnson College Of Business,No,"Transitioning From Academia To Industry Or Navigating Career Changes, Career Guidance, Entrepreneurship And Startup Advice",Graduate and Professional Students Assembly (GPSA),Yes,212-576-7143,I've spent 12+ years in Business and love mentoring the next generation in innovation.,,Both,2.0,,,,1 - Highest Priority,,,,,,,,,,,,,,5 - Lowest Priority,3,,4,,,2,,,,,,
Grace King,graceking93@icloud.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,Yes,Cornell Tech (NYC),No,"Public Service And Non-Profit Careers, Work-Life Balance",Graduate and Professional Students Assembly (GPSA),Yes,212-586-5025,"I've spent 5+ years in Finance, investment and financial services and love mentoring the next generation in policy reform.",I am a first-gen student and would appreciate any guidance.,Both,1.0,,,,,,,,,,,,2,,1 - Highest Priority,,,,3,,,,,,,,,,,,
Zoey Wang,zoeywang38@cornell.edu,"Graduate Student / Professional (Masters, PhD, MBA, JD, MD, etc.)",Graduate,NYC Area,No,Cornell Law School,Yes,Career Guidance,Graduate and Professional Students Assembly (GPSA),No,,Passionate about Law and legal services with a growing interest in social impact. Looking forward to mentorship.,,,,,,,2,,,,,,,,,,,,,,4,,1 - Highest Priority,3,,,,,,,,,
Camila Lewis,camilalewis57@gmail.com,PCCW Mentor (Cornell Alum),,East Coast U.S.,No,Other,Yes,"Work-Life Balance, Public Service And Non-Profit Careers",Building Ourselves Through Sisterhood and Service (BOSS),Yes,212-273-2785,Experienced professional in Entrepreneurship and startups with 5 years in financial inclusion. Excited to give back.,,,1.0,,,,4,,,,,,,,,1 - Highest Priority,,,,,,,2,,,,,,,3,,,
Ivy Williams,ivywilliams08@outlook.com,PCCW Mentor (Cornell Alum),,West Coast U.S.,Yes,Cornell SC Johnson College Of Business,No,Networking,Graduate and Professional Students Assembly (GPSA),Yes,212-385-1942,Cornell alum working in Engineering. Happy to share insights about careers in innovation.,,Both,3.0,,,4,,,,,,,,,1 - Highest Priority,,,,,3,,2,,,,,,,,,,,
