Timestamp,Email Address,Name,Preferred Name,Are you a/an ,What organization are you affiliated with?,What organization are you affiliated with?.1,Are you willing to provide a cell phone number to be contacted by your mentor? ,Please add your phone number,Which level of student do you wish to mentor (check all the apply),How many mentees do you wish to mentor?,"If you already are mentoring students via PCCW, please write in the exact number you are mentoring ",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Academia and research],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Architecture and urban planning],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Biotech, pharmaceutical, life sciences, and medical devices]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Business],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Consulting and strategy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Corporate and general management],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Creative fields],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Data and analytics],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Design],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Education],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Energy, sustainability and the environment]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Engineering],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Entrepreneurship and startups],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Finance, investment and financial services]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Health and wellness],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Hospitality],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Human resources],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [IT and technology],"What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Journalism, publishing and communications]",What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Law and legal services],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Marketing],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Media and entertainment],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Medicine and healthcare],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Non-profit and social enterprise],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Policy and advocacy],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Psychology and social work],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Public service and government],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Real estate],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Retail and consumer goods],What is your field of interest/expertise? *please check up to 5 areas; this will prioritize your matching. [Veterinary medicine],"Would you like your match to be based, in part, on your location?",Your location/where you wish to work (mentees) or reside (mentors); click all that apply that you want to be considered in match,"Would you like your match to be based, in part, on specific career advice you are seeking or want to provide?",Click all career advice areas that apply,"Would you like your match to be based, in part, on your college/school affiliation(s) at Cornell? Graduate students please indicate the college that most closely relates to your Field of Study administered by the Graduate School or professional degree you are obtaining.",Click all that apply,Please provide a short bio that we will use to introduce you to your mentor/mentee.,"Is there anything else you would like to share with the mentoring committee about yourself? (could include hobbies. interests, volunteering, etc.)","Is there anything else you would like to share with the mentor...urself? (could include hobbies. interests, volunteering, etc.)"
09/18/2025 03:54:10,jose.mason11@cornell.edu,Jose Mason,Jose,Undergraduate student,Building Ourselves Through Sisterhood and Service (BOSS),,Yes,(481)248-9325,,,,,,,,,2nd,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,No,,No,,Yes,College Of Agriculture And Life Sciences,I’m learning about law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
07/20/2025 05:15:28,carol.burns12@gmail.com,Carol Burns,Carol,Graduate student,,Graduate and Professional Student Assembly (GPSA),Yes,954-330-3911,,,,,,,,,,,2nd,,,,1st Choice,,,,,,,,,,,,,,,,,,,Yes,"West Coast U.S., NYC Area",No,,No,,I have been researching engineering and would love to connect around career paths and community.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
06/14/2025 09:34:06,tiffany.patel13@outlook.com,Tiffany Patel,,Undergraduate student,Building Ourselves Through Sisterhood and Service (BOSS),,No,,,,,,,,,,,,,,,,,,,2nd,,,1st Choice,,,3rd,,,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,My background is in exploring it and technology and would love to connect around career paths and community.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
06/15/2025 21:55:32,david.keller14@gmail.com,David Keller,,Graduate student,,Cornell Tech,No,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Entrepreneurship And Startup Advice,Yes,Graduate School Field Of Study,"I’m especially interested in transitioning within biotech, pharmaceutical, life sciences, and medical devices and would love to connect around career paths and community.",In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
07/27/2025 21:34:15,stacey.martin15@outlook.com,Stacey Martin,,PCCW member,,,No,,Undergraduate,2.0,0.0,3rd,,,1st Choice,,,,,,,,,,,2nd,,,,,,,,,,,,,,,,No,,Yes,Networking,Yes,Cornell SC Johnson College Of Business,I am currently mentoring around business and would love to connect around career paths and community.,In my free time I enjoy yoga and mindfulness.,In my free time I enjoy yoga and mindfulness.
10/05/2025 01:20:29,allison.obrien16@outlook.com,Allison Obrien,,Graduate student,,Cornell Tech,Yes,383.546.5787,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,"Work-Life Balance, Networking",Yes,Weill Cornell Medicine (NYC),My background is in researching it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
03/01/2025 20:05:34,jeffrey.morgan17@cornell.edu,Jeffrey Morgan,,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,2nd,,,Yes,East Coast U.S.,Yes,Navigating The Workforce,Yes,Weill Cornell Medicine (NYC),My background is in researching engineering and I enjoy helping others think through next steps.,In my free time I enjoy yoga and mindfulness.,In my free time I enjoy yoga and mindfulness.
03/09/2025 02:39:45,brianna.hall18@gmail.com,Brianna Hall,Brianna,Undergraduate student,Women's Leadership Initiative (WLI),,Yes,501.603.1051,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,No,,No,,I am currently exploring it and technology and I enjoy helping others think through next steps.,In my free time I enjoy peer mentorship.,In my free time I enjoy peer mentorship.
11/09/2025 21:47:38,elizabeth.lewis19@cornell.edu,Elizabeth Lewis,Elizabeth,Graduate student,,Graduate and Professional Student Assembly (GPSA),No,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,My background is in researching law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy language learning.,In my free time I enjoy language learning.
06/05/2025 11:50:22,david.walls20@cornell.edu,David Walls,David,Graduate student,,Graduate and Professional Student Assembly (GPSA),Yes,001-897-737-6311,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,South Asia,No,,No,,I’m transitioning within it and technology and would love to connect around career paths and community.,In my free time I enjoy photography.,In my free time I enjoy photography.
11/15/2025 19:41:05,rodney.owens21@outlook.com,Rodney Owens,Rodney,PCCW member,,,No,,Undergraduate,4.0,0.0,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,No,,Yes,International Student Guidance,Yes,Cornell Tech (NYC),I’m bringing experience in it and technology and I enjoy helping others think through next steps.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
06/07/2025 12:49:59,jessica.nunez22@cornell.edu,Jessica Nunez,Jessica,PCCW member,,,Yes,+1-410-665-1333x8726,Undergraduate,1.0,0.0,,2nd,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,No,,Yes,"Navigating The Workforce, Career Guidance",Yes,Cornell SC Johnson College Of Business,My background is in working in entrepreneurship and startups and I value thoughtful mentoring relationships.,In my free time I enjoy language learning.,In my free time I enjoy language learning.
04/13/2025 07:44:52,steven.baxter23@outlook.com,Steven Baxter,Steven,Graduate student,,Cornell Tech,Yes,478-810-8013,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,No,,Yes,Career Guidance,Yes,College Of Human Ecology,I have been researching health and wellness and would love to connect around career paths and community.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
10/26/2025 13:27:04,todd.lewis24@gmail.com,Todd Lewis,,Undergraduate student,Other,,Yes,(502)660-6474x6872,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,Yes,"U.K., West Coast U.S.",Yes,Work-Life Balance,No,,My background is in learning about design and I’m excited to learn from different perspectives.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
04/24/2025 01:51:30,jeff.brown25@cornell.edu,Jeff Brown,,Graduate student,,Other,Yes,001-380-450-0978x8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,No,,Yes,"Public Service And Non-Profit Careers, First Generation Student Guidance, Entrepreneurship And Startup Advice",No,,My background is in deepening experience in policy and advocacy and would love to connect around career paths and community.,In my free time I enjoy language learning.,In my free time I enjoy language learning.
07/11/2025 02:59:32,casey.jones26@gmail.com,Casey Jones,,PCCW member,,,Yes,361.893.9909,"Undergraduate, Graduate",3.0,0.0,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,East Coast U.S.,Yes,Work-Life Balance,Yes,Cornell Tech (NYC),I’m especially interested in mentoring around it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy volunteering with local nonprofits.,In my free time I enjoy volunteering with local nonprofits.
04/14/2025 01:50:40,diane.cunningham27@cornell.edu,Diane Cunningham,Diane,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,South Asia,Yes,Entrepreneurship And Startup Advice,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,I am currently deepening experience in it and technology and would love to connect around career paths and community.,In my free time I enjoy student leadership.,In my free time I enjoy student leadership.
04/23/2025 15:35:17,leslie.green28@gmail.com,Leslie Green,,Undergraduate student,Other,,Yes,+1-353-346-2475x10799,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,2nd,,,,,,,,No,,Yes,Public Service And Non-Profit Careers,Yes,College Of Engineering,I’m especially interested in learning about it and technology and would love to connect around career paths and community.,In my free time I enjoy baking.,In my free time I enjoy baking.
08/19/2025 21:12:58,amanda.wagner29@outlook.com,Amanda Wagner,,PCCW member,,,No,,Graduate,4.0,1.0,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,"I am currently mentoring around biotech, pharmaceutical, life sciences, and medical devices and I enjoy helping others think through next steps.",In my free time I enjoy photography.,In my free time I enjoy photography.
03/08/2025 22:15:56,david.bailey30@gmail.com,David Bailey,,PCCW member,,,No,,Undergraduate,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,No,,No,,No,,My background is in bringing experience in psychology and social work and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.,In my free time I enjoy music and live performances.
09/24/2025 05:06:45,casey.sanchez31@cornell.edu,Casey Sanchez,Casey,Graduate student,,Cornell Tech,No,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,South Asia,Yes,Transitioning From Academia To Industry Or Navigating Career Changes,No,,"I have been transitioning within biotech, pharmaceutical, life sciences, and medical devices and I’m excited to learn from different perspectives.",In my free time I enjoy baking.,In my free time I enjoy baking.
08/19/2025 12:03:35,justin.kim32@outlook.com,Justin Kim,,Graduate student,,Graduate and Professional Student Assembly (GPSA),Yes,+1-649-380-8412,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"East Coast U.S., NYC Area",Yes,Transitioning From Academia To Industry Or Navigating Career Changes,Yes,Graduate School Field Of Study,"I’m transitioning within biotech, pharmaceutical, life sciences, and medical devices and I’m excited to learn from different perspectives.",In my free time I enjoy baking.,In my free time I enjoy baking.
01/15/2025 02:12:27,pamela.newton33@outlook.com,Pamela Newton,Pamela,Graduate student,,Graduate and Professional Student Assembly (GPSA),Yes,(944)693-5348,,,,,,,,,,,2nd,,,,1st Choice,,,,,,,,,,,3rd,,,,,,,,No,,Yes,"Work-Life Balance, Entrepreneurship And Startup Advice, Networking",Yes,Cornell Tech (NYC),My background is in transitioning within engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
09/04/2025 16:13:14,rebecca.mathis34@gmail.com,Rebecca Mathis,Rebecca,PCCW member,,,No,,Undergraduate,1.0,3.0,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,No,,Yes,Career Guidance,Yes,College Of Arts And Sciences,"I am currently bringing experience in journalism, publishing and communications and I’m excited to learn from different perspectives.",In my free time I enjoy peer mentorship.,In my free time I enjoy peer mentorship.
04/14/2025 07:57:59,christopher.henderson35@outlook.com,Christopher Henderson,Christopher,PCCW member,,,No,,"Undergraduate, Graduate",2.0,0.0,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,College Of Agriculture And Life Sciences,"My background is in bringing experience in biotech, pharmaceutical, life sciences, and medical devices and I enjoy helping others think through next steps.",In my free time I enjoy language learning.,In my free time I enjoy language learning.
03/01/2025 02:05:17,joshua.smith36@cornell.edu,Joshua Smith,,PCCW member,,,Yes,001-724-427-8680x11280,"Undergraduate, Graduate",2.0,0.0,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,"NYC Area, South Asia",Yes,"Navigating The Workforce, Transitioning From Academia To Industry Or Navigating Career Changes",Yes,Cornell Ann S. Bowers College Of Computing And Information Science,I have been working in it and technology and would love to connect around career paths and community.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
04/22/2025 08:34:00,russell.williams37@gmail.com,Russell Williams,Russell,Graduate student,,Other,Yes,(405)433-1586x923,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,"I have been transitioning within biotech, pharmaceutical, life sciences, and medical devices and I value thoughtful mentoring relationships.",In my free time I enjoy baking.,In my free time I enjoy baking.
03/08/2025 04:09:09,nicole.johnson38@cornell.edu,Nicole Johnson,,Graduate student,,Other,Yes,001-756-634-2160x7337,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,,,,,Yes,East Asia,No,,Yes,Cornell Ann S. Bowers College Of Computing And Information Science,I have been researching data and analytics and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.,In my free time I enjoy dance and fitness classes.
04/19/2025 07:38:25,lori.savage39@outlook.com,Lori Savage,,Undergraduate student,Women's Leadership Initiative (WLI),,No,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,2nd,,,,,,,,,Yes,"NYC Area, West Coast U.S.",No,,No,,"I’m curious about finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
03/30/2025 18:38:37,jeffrey.keller40@cornell.edu,Jeffrey Keller,Jeffrey,PCCW member,,,Yes,(454)614-5868x5014,Graduate,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,No,,Yes,"Career Guidance, Public Service And Non-Profit Careers",No,,I’m especially interested in bringing experience in veterinary medicine and I’m excited to learn from different perspectives.,In my free time I enjoy language learning.,In my free time I enjoy language learning.
10/26/2025 03:09:55,benjamin.carlson41@gmail.com,Benjamin Carlson,Benjamin,Graduate student,,Other,Yes,(256)598-1693x406,,,,,,2nd,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,Yes,West Coast U.S.,Yes,Entrepreneurship And Startup Advice,Yes,Cornell Jeb E. Brooks School Of Public Policy,I have been transitioning within law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
01/22/2025 03:39:03,michael.jones42@cornell.edu,Michael Jones,Mich,Undergraduate student,Other,,Yes,+1-559-851-4846x56482,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,2nd,,,,,,,,Yes,East Coast U.S.,Yes,Career Guidance,Yes,Cornell SC Johnson College Of Business,"I have been learning about finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy yoga and mindfulness.,In my free time I enjoy yoga and mindfulness.
03/01/2025 01:48:13,elizabeth.gray43@gmail.com,Elizabeth Gray,,Graduate student,,Cornell Tech,Yes,001-729-994-6804x4369,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,,,No,,Yes,Navigating The Workforce,Yes,Cornell Tech (NYC),I’m researching engineering and I enjoy helping others think through next steps.,In my free time I enjoy campus community building.,In my free time I enjoy campus community building.
11/02/2025 00:07:48,scott.lowe44@gmail.com,Scott Lowe,Scott,Graduate student,,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,Yes,"NYC Area, Western Europe",Yes,Career Guidance,No,,I am currently researching real estate and I value thoughtful mentoring relationships.,In my free time I enjoy baking.,In my free time I enjoy baking.
09/09/2025 10:46:59,william.leon45@gmail.com,William Leon,,PCCW member,,,Yes,001-221-248-9513x4332,Undergraduate,1.0,0.0,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,,,,,,,Yes,West Coast U.S.,Yes,"Entrepreneurship And Startup Advice, International Student Guidance",No,,"I am currently mentoring around finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
05/03/2025 17:46:35,john.alvarez46@gmail.com,John Alvarez,,Undergraduate student,Other,,Yes,001-517-469-3676x32016,,,,,,,,,,,,,,,,,,,,,2nd,,1st Choice,,,,,,,,,,,Yes,NYC Area,Yes,"Entrepreneurship And Startup Advice, Career Guidance, Work-Life Balance",Yes,"College Of Architecture, Art, And Planning",I have been curious about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.,In my free time I enjoy volunteering with local nonprofits.
05/06/2025 03:29:10,linda.dominguez47@gmail.com,Linda Dominguez,,Graduate student,,Cornell Tech,No,,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,,,,Yes,Western Europe,No,,No,,I’m especially interested in deepening experience in law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy travel planning.,In my free time I enjoy travel planning.
08/22/2025 10:03:14,steven.grant48@cornell.edu,Steven Grant,,Graduate student,,Cornell Tech,Yes,872-978-8957,,,,,,,,,1st Choice,,,,2nd,,,,,,,,,,,,,,,,,,,,,No,,Yes,"Career Guidance, Entrepreneurship And Startup Advice",Yes,Cornell SC Johnson College Of Business,I have been transitioning within corporate and general management and I enjoy helping others think through next steps.,In my free time I enjoy cooking for friends.,In my free time I enjoy cooking for friends.
05/07/2025 11:46:00,phyllis.manning49@gmail.com,Phyllis Manning,Phyllis,Undergraduate student,Residence Hall Council,,Yes,674.734.8734x7143,,,,,,,2nd,,,,3rd,,,,,,,,,,1st Choice,,,,,,,,,,,,,Yes,South Asia,Yes,"Career Guidance, International Student Guidance",No,,I have been exploring it and technology and would love to connect around career paths and community.,In my free time I enjoy running and hiking.,In my free time I enjoy running and hiking.
02/21/2025 22:34:29,luis.fernandez50@outlook.com,Luis Fernandez,,PCCW member,,,Yes,(723)962-3166,"Undergraduate, Graduate",4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1st Choice,,,,,,,,Yes,"Western Europe, East Coast U.S.",No,,No,,I’m mentoring around medicine and healthcare and would love to connect around career paths and community.,In my free time I enjoy reading memoirs and essays.,In my free time I enjoy reading memoirs and essays.
