Name,Role,Student_Level,Email,Phone_Number,Organization,Location,College,Career_Interests,Field_1,Field_2,Field_3,Field_4,Field_5,Bio,Additional_Notes
Pamela Newton,Mentee,Graduate,pamela.newton33@outlook.com,(944)693-5348,Nan|Graduate And Professional Student Assembly (Gpsa),None,Cornell Tech (NYC),Work-Life Balance|Entrepreneurship And Startup Advice|Networking,Engineering,Data and analytics,Medicine and healthcare,None,None,My background is in transitioning within engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Russell Williams,Mentee,Graduate,russell.williams37@gmail.com,(405)433-1586x923,Nan|Other,None,None,None,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,None,"I have been transitioning within biotech, pharmaceutical, life sciences, and medical devices and I value thoughtful mentoring relationships.",In my free time I enjoy baking.
Nicole Johnson,Mentee,Graduate,nicole.johnson38@cornell.edu,001-756-634-2160x7337,Nan|Other,East Asia,Cornell Ann S. Bowers College Of Computing And Information Science,None,Data and analytics,None,None,None,None,I have been researching data and analytics and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.
Lori Savage,Mentee,Undergraduate,lori.savage39@outlook.com,None,Women's Leadership Initiative (WLI)|Nan,NYC Area|West Coast U.S.,None,None,"Finance, investment and financial services",Media and entertainment,None,None,None,"I’m curious about finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy travel planning.
Benjamin Carlson,Mentee,Graduate,benjamin.carlson41@gmail.com,(256)598-1693x406,Nan|Other,West Coast U.S.,Cornell Jeb E. Brooks School Of Public Policy,Entrepreneurship And Startup Advice,Law and legal services,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,I have been transitioning within law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Michael Jones,Mentee,Undergraduate,michael.jones42@cornell.edu,+1-559-851-4846x56482,Other|Nan,East Coast U.S.,Cornell SC Johnson College Of Business,Career Guidance,"Finance, investment and financial services",Medicine and healthcare,None,None,None,"I have been learning about finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy yoga and mindfulness.
Elizabeth Gray,Mentee,Graduate,elizabeth.gray43@gmail.com,001-729-994-6804x4369,Nan|Cornell Tech,None,Cornell Tech (NYC),Navigating The Workforce,Engineering,None,None,None,None,I’m researching engineering and I enjoy helping others think through next steps.,In my free time I enjoy campus community building.
Scott Lowe,Mentee,Graduate,scott.lowe44@gmail.com,None,Nan|Other,NYC Area|Western Europe,None,Career Guidance,Real estate,None,None,None,None,I am currently researching real estate and I value thoughtful mentoring relationships.,In my free time I enjoy baking.
John Alvarez,Mentee,Undergraduate,john.alvarez46@gmail.com,001-517-469-3676x32016,Other|Nan,NYC Area,"College Of Architecture, Art, And Planning|College Of Architecture, Art, And Planning|College Of Architecture, Art, And Planning",Entrepreneurship And Startup Advice|Career Guidance|Work-Life Balance,Law and legal services,IT and technology,None,None,None,I have been curious about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.
Linda Dominguez,Mentee,Graduate,linda.dominguez47@gmail.com,None,Nan|Cornell Tech,Western Europe,None,None,Law and legal services,None,None,None,None,I’m especially interested in deepening experience in law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy travel planning.
Steven Grant,Mentee,Graduate,steven.grant48@cornell.edu,872-978-8957,Nan|Cornell Tech,None,Cornell SC Johnson College Of Business,Career Guidance|Entrepreneurship And Startup Advice,Corporate and general management,Education,None,None,None,I have been transitioning within corporate and general management and I enjoy helping others think through next steps.,In my free time I enjoy cooking for friends.
Phyllis Manning,Mentee,Undergraduate,phyllis.manning49@gmail.com,674.734.8734x7143,Residence Hall Council|Nan,South Asia,None,Career Guidance|International Student Guidance,IT and technology,Business,Data and analytics,None,None,I have been exploring it and technology and would love to connect around career paths and community.,In my free time I enjoy running and hiking.
Robert Clark,Mentee,Graduate,robert.clark51@gmail.com,(569)909-6705x46688,Nan|Cornell Tech,None,College Of Engineering,Networking|Entrepreneurship And Startup Advice,IT and technology,Data and analytics,None,None,None,My background is in deepening experience in it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Jeffrey Graham,Mentee,Graduate,jeffrey.graham52@cornell.edu,2658627298,Nan|Other,West Coast U.S.,None,International Student Guidance|Career Guidance,Engineering,None,None,None,None,I am currently transitioning within engineering and I’m excited to learn from different perspectives.,In my free time I enjoy campus community building.
Brittany Alvarado,Mentee,Graduate,brittany.alvarado53@outlook.com,None,Nan|Other,None,School Of Veterinary Medicine,International Student Guidance,Veterinary medicine,None,None,None,None,I’m researching veterinary medicine and would love to connect around career paths and community.,In my free time I enjoy student leadership.
Christopher Patterson,Mentee,Graduate,christopher.patterson54@cornell.edu,820.646.5375x564,Nan|Cornell Tech,None,Cornell SC Johnson College Of Business,Transitioning From Academia To Industry Or Navigating Career Changes,"Finance, investment and financial services",None,None,None,None,"My background is in deepening experience in finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy student leadership.
Mary Ruiz,Mentee,Undergraduate,mary.ruiz55@outlook.com,001-580-453-1003x3092,Professional/Academic Organization|Nan,None,Cornell Ann S. Bowers College Of Computing And Information Science,None,IT and technology,Psychology and social work,Media and entertainment,None,None,My background is in exploring it and technology and would love to connect around career paths and community.,In my free time I enjoy student leadership.
Thomas Wilson,Mentee,Graduate,thomas.wilson56@cornell.edu,None,Nan|Cornell Tech,NYC Area,College Of Engineering,Networking|Navigating The Workforce,IT and technology,Policy and advocacy,None,None,None,I am currently researching it and technology and I enjoy helping others think through next steps.,In my free time I enjoy running and hiking.
Shelly Gonzalez,Mentee,Graduate,shelly.gonzalez58@gmail.com,001-831-749-1905,Nan|Other,None,None,Career Guidance,Architecture and urban planning,None,None,None,None,I am currently deepening experience in architecture and urban planning and I value thoughtful mentoring relationships.,In my free time I enjoy cooking for friends.
Christina Gillespie,Mentee,Undergraduate,christina.gillespie60@cornell.edu,001-877-769-4531x47379,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,NYC Area,None,First Generation Student Guidance,IT and technology,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,I’m especially interested in curious about it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Anthony Rosales,Mentee,Graduate,anthony.rosales61@gmail.com,(273)554-5494,Nan|Cornell Tech,None,Cornell SC Johnson College Of Business,None,Entrepreneurship and startups,None,None,None,None,My background is in researching entrepreneurship and startups and I value thoughtful mentoring relationships.,In my free time I enjoy campus community building.
Christopher Cortez,Mentee,Graduate,christopher.cortez62@gmail.com,None,Nan|Cornell Tech,East Coast U.S.,None,Transitioning From Academia To Industry Or Navigating Career Changes,Academia and research,None,None,None,None,I’m deepening experience in academia and research and I value thoughtful mentoring relationships.,In my free time I enjoy campus community building.
Tracy Chang,Mentee,Graduate,tracy.chang63@gmail.com,001-777-970-1436x349,Nan|Cornell Tech,East Coast U.S.,None,Networking,Medicine and healthcare,None,None,None,None,I’m especially interested in deepening experience in medicine and healthcare and I’m excited to learn from different perspectives.,In my free time I enjoy peer mentorship.
Angela Cooper,Mentee,Graduate,angela.cooper64@cornell.edu,001-485-557-4443x1351,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,Networking,Engineering,None,None,None,None,I’m researching engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Brandon Brown,Mentee,Undergraduate,brandon.brown66@cornell.edu,627-910-9477x7520,First Gen|Nan,None,Cornell Ann S. Bowers College Of Computing And Information Science,Career Guidance,Health and wellness,Media and entertainment,Marketing,None,None,My background is in exploring health and wellness and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.
Travis Ray,Mentee,Graduate,travis.ray68@outlook.com,+1-502-829-4131x86999,Nan|Cornell Tech,East Coast U.S.,None,None,Real estate,None,None,None,None,I’m deepening experience in real estate and would love to connect around career paths and community.,In my free time I enjoy yoga and mindfulness.
Michelle Branch,Mentee,Undergraduate,michelle.branch70@outlook.com,399-409-1334x1232,Residence Hall Council|Nan,None,None,None,Law and legal services,"Finance, investment and financial services",Public service and government,None,None,I am currently learning about law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.
Haley Lyons,Mentee,Graduate,haley.lyons74@gmail.com,None,Nan|Graduate And Professional Student Assembly (Gpsa),None,Cornell Tech (NYC),Transitioning From Academia To Industry Or Navigating Career Changes,"Finance, investment and financial services",Entrepreneurship and startups,None,None,None,"I am currently deepening experience in finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy baking.
Sherri Mason,Mentee,Graduate,sherri.mason75@gmail.com,271.690.6594x0139,Nan|Other,West Coast U.S.|Western Europe,None,Transitioning From Academia To Industry Or Navigating Career Changes|Work-Life Balance|Navigating The Workforce,Engineering,None,None,None,None,I am currently transitioning within engineering and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.
Michael Cook,Mentee,Graduate,michael.cook77@outlook.com,+1-712-356-7468x07154,Nan|Other,None,None,Networking|Navigating The Workforce|Entrepreneurship And Startup Advice,IT and technology,None,None,None,None,I have been deepening experience in it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Helen Martinez,Mentee,Graduate,helen.martinez80@cornell.edu,+1-393-424-8086x1317,Nan|Graduate And Professional Student Assembly (Gpsa),East Coast U.S.,Cornell Law School,None,Health and wellness,"Journalism, publishing and communications",None,None,None,I’m especially interested in deepening experience in health and wellness and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Tyrone Moran,Mentee,Graduate,tyrone.moran81@cornell.edu,None,Nan|Other,East Coast U.S.|NYC Area,Cornell Tech (NYC),None,"Finance, investment and financial services",Real estate,None,None,None,"I am currently deepening experience in finance, investment and financial services and I enjoy helping others think through next steps.",In my free time I enjoy reading memoirs and essays.
William Hill,Mentee,Undergraduate,william.hill82@outlook.com,None,First Gen|Nan,Western Europe|East Coast U.S.,Cornell Ann S. Bowers College Of Computing And Information Science,Work-Life Balance|Entrepreneurship And Startup Advice,Law and legal services,IT and technology,Health and wellness,"Biotech, pharmaceutical, life sciences, and medical devices",Corporate and general management,My background is in exploring law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy running and hiking.
Kendra Dickerson,Mentee,Undergraduate,kendra.dickerson84@cornell.edu,784-804-4997x27875,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,None,Cornell Jeb E. Brooks School Of Public Policy,Networking,Law and legal services,None,None,None,None,I’m especially interested in curious about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Ashley Hall,Mentee,Graduate,ashley.hall87@cornell.edu,001-360-957-6627x02895,Nan|Other,None,College Of Engineering,None,Entrepreneurship and startups,None,None,None,None,I’m deepening experience in entrepreneurship and startups and I value thoughtful mentoring relationships.,In my free time I enjoy music and live performances.
Cory Lozano,Mentee,Undergraduate,cory.lozano88@gmail.com,None,Panhellenic/Multicultural Greek Fraternal Council|Nan,NYC Area,Cornell Jeb E. Brooks School Of Public Policy,None,Law and legal services,Medicine and healthcare,Architecture and urban planning,None,None,My background is in learning about law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.
Alexis Thomas,Mentee,Undergraduate,alexis.thomas89@cornell.edu,+1-921-274-5961x5865,Professional/Academic Organization|Nan,NYC Area,None,None,Engineering,None,None,None,None,My background is in learning about engineering and I value thoughtful mentoring relationships.,In my free time I enjoy cooking for friends.
Tyler Aguilar,Mentee,Undergraduate,tyler.aguilar93@gmail.com,474.374.0748,First Gen|Nan,None,None,None,Law and legal services,"Finance, investment and financial services",Health and wellness,None,None,I’m especially interested in learning about law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.
Scott Reed,Mentee,Graduate,scott.reed94@gmail.com,None,Nan|Cornell Tech,West Coast U.S.|NYC Area,College Of Engineering,Public Service And Non-Profit Careers,Engineering,None,None,None,None,I’m transitioning within engineering and I enjoy helping others think through next steps.,In my free time I enjoy reading memoirs and essays.
Tiffany Barrett,Mentee,Graduate,tiffany.barrett96@cornell.edu,609-409-7439x533,Nan|Other,NYC Area,Cornell Tech (NYC),None,Engineering,None,None,None,None,I have been deepening experience in engineering and I value thoughtful mentoring relationships.,In my free time I enjoy travel planning.
Courtney Berger,Mentee,Undergraduate,courtney.berger97@cornell.edu,+1-504-470-9521x4562,First Gen|Nan,NYC Area,Cornell Jeb E. Brooks School Of Public Policy,None,Law and legal services,"Finance, investment and financial services",Medicine and healthcare,None,None,I’m especially interested in exploring law and legal services and I enjoy helping others think through next steps.,In my free time I enjoy cooking for friends.
Kristin Walter,Mentee,Graduate,kristin.walter98@cornell.edu,None,Nan|Cornell Tech,None,Cornell Tech (NYC),Entrepreneurship And Startup Advice|First Generation Student Guidance|Navigating The Workforce,Engineering,Health and wellness,None,None,None,My background is in transitioning within engineering and would love to connect around career paths and community.,In my free time I enjoy reading memoirs and essays.
Amanda Gibson,Mentee,Graduate,amanda.gibson101@cornell.edu,None,Nan|Cornell Tech,East Coast U.S.,None,None,Medicine and healthcare,None,None,None,None,I have been researching medicine and healthcare and would love to connect around career paths and community.,In my free time I enjoy photography.
Emily Chambers,Mentee,Graduate,emily.chambers102@outlook.com,001-765-513-7098,Nan|Cornell Tech,None,Cornell Tech (NYC),Entrepreneurship And Startup Advice,Engineering,Medicine and healthcare,None,None,None,I’m transitioning within engineering and I value thoughtful mentoring relationships.,In my free time I enjoy volunteering with local nonprofits.
Brent Cook,Mentee,Undergraduate,brent.cook106@outlook.com,None,Women's Leadership Initiative (WLI)|Nan,None,None,None,Law and legal services,Human resources,None,None,None,I’m especially interested in learning about law and legal services and I value thoughtful mentoring relationships.,In my free time I enjoy photography.
Vanessa Buchanan,Mentee,Graduate,vanessa.buchanan107@outlook.com,None,Nan|Other,None,None,Transitioning From Academia To Industry Or Navigating Career Changes,Engineering,None,None,None,None,I’m especially interested in researching engineering and would love to connect around career paths and community.,In my free time I enjoy campus community building.
Angela Willis,Mentee,Graduate,angela.willis109@outlook.com,None,Nan|Graduate And Professional Student Assembly (Gpsa),U.K.,None,Networking,Entrepreneurship and startups,None,None,None,None,I am currently researching entrepreneurship and startups and I’m excited to learn from different perspectives.,In my free time I enjoy language learning.
Lisa Hall,Mentee,Graduate,lisa.hall110@cornell.edu,001-729-504-2284x21020,Nan|Cornell Tech,None,None,Entrepreneurship And Startup Advice|Work-Life Balance,Entrepreneurship and startups,None,None,None,None,I’m deepening experience in entrepreneurship and startups and I enjoy helping others think through next steps.,In my free time I enjoy peer mentorship.
William Dougherty,Mentee,Graduate,william.dougherty112@gmail.com,3849700766,Nan|Other,None,None,None,"Finance, investment and financial services",None,None,None,None,"I’m researching finance, investment and financial services and I value thoughtful mentoring relationships.",In my free time I enjoy music and live performances.
Jennifer Wallace,Mentee,Graduate,jennifer.wallace113@gmail.com,759-821-2499,Nan|Other,None,None,Work-Life Balance,Real estate,None,None,None,None,I have been researching real estate and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.
Megan Richardson,Mentee,Graduate,megan.richardson118@gmail.com,001-649-636-8998x09402,Nan|Graduate And Professional Student Assembly (Gpsa),East Coast U.S.,Cornell Tech (NYC),None,Real estate,None,None,None,None,My background is in transitioning within real estate and I enjoy helping others think through next steps.,In my free time I enjoy music and live performances.
Sandra Bell,Mentee,Undergraduate,sandra.bell119@cornell.edu,(529)861-2018,Building Ourselves Through Sisterhood and Service (BOSS)|Nan,West Coast U.S.,None,None,IT and technology,Health and wellness,Data and analytics,None,None,I am currently learning about it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy yoga and mindfulness.
Robert Peterson,Mentee,Graduate,robert.peterson120@cornell.edu,(645)999-1022x901,Nan|Cornell Tech,None,None,Entrepreneurship And Startup Advice,Entrepreneurship and startups,None,None,None,None,I’m deepening experience in entrepreneurship and startups and I enjoy helping others think through next steps.,In my free time I enjoy dance and fitness classes.
Ebony Tucker,Mentee,Graduate,ebony.tucker121@outlook.com,None,Nan|Cornell Tech,East Coast U.S.,Cornell Tech (NYC),Navigating The Workforce|Career Guidance,"Finance, investment and financial services",Business,None,None,None,"I have been deepening experience in finance, investment and financial services and I’m excited to learn from different perspectives.",In my free time I enjoy yoga and mindfulness.
Laurie Montgomery,Mentee,Graduate,laurie.montgomery125@gmail.com,001-651-761-3696x816,Nan|Graduate And Professional Student Assembly (Gpsa),None,Graduate School Field Of Study,None,IT and technology,Engineering,Law and legal services,None,None,I’m especially interested in transitioning within it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy student leadership.
Jeffrey Maxwell,Mentee,Graduate,jeffrey.maxwell126@cornell.edu,581-388-3552,Nan|Cornell Tech,None,Cornell Tech (NYC),Career Guidance,"Finance, investment and financial services",None,None,None,None,"I’m researching finance, investment and financial services and would love to connect around career paths and community.",In my free time I enjoy volunteering with local nonprofits.
Marc Alvarez,Mentee,Graduate,marc.alvarez130@cornell.edu,None,Nan|Graduate And Professional Student Assembly (Gpsa),None,None,Entrepreneurship And Startup Advice,Entrepreneurship and startups,Corporate and general management,None,None,None,My background is in researching entrepreneurship and startups and would love to connect around career paths and community.,In my free time I enjoy music and live performances.
Edward Brown,Mentee,Graduate,edward.brown131@gmail.com,451-782-0377,Nan|Other,None,None,None,IT and technology,None,None,None,None,I am currently deepening experience in it and technology and I value thoughtful mentoring relationships.,In my free time I enjoy reading memoirs and essays.
Nathan Campbell,Mentee,Graduate,nathan.campbell132@cornell.edu,(759)305-1518x64492,Nan|Cornell Tech,None,None,Entrepreneurship And Startup Advice,IT and technology,Law and legal services,None,None,None,I’m researching it and technology and would love to connect around career paths and community.,In my free time I enjoy volunteering with local nonprofits.
Brandi Thomas,Mentee,Graduate,brandi.thomas133@gmail.com,(346)829-1486x528,Nan|Graduate And Professional Student Assembly (Gpsa),West Coast U.S.,Cornell SC Johnson College Of Business,None,Corporate and general management,None,None,None,None,I’m especially interested in researching corporate and general management and I enjoy helping others think through next steps.,In my free time I enjoy cooking for friends.
Karen Bowers,Mentee,Undergraduate,karen.bowers136@cornell.edu,None,Other|Nan,None,Cornell Jeb E. Brooks School Of Public Policy,Public Service And Non-Profit Careers,Law and legal services,Business,None,None,None,I’m exploring law and legal services and I’m excited to learn from different perspectives.,In my free time I enjoy volunteering with local nonprofits.
Tammy Mueller,Mentee,Graduate,tammy.mueller138@gmail.com,859.477.4688,Nan|Graduate And Professional Student Assembly (Gpsa),None,College Of Human Ecology,Entrepreneurship And Startup Advice|Networking,"Journalism, publishing and communications",None,None,None,None,"I am currently transitioning within journalism, publishing and communications and I’m excited to learn from different perspectives.",In my free time I enjoy travel planning.
Lisa Solis,Mentee,Graduate,lisa.solis139@outlook.com,(640)375-8181,Nan|Graduate And Professional Student Assembly (Gpsa),None,College Of Human Ecology,Work-Life Balance|Navigating The Workforce,Medicine and healthcare,None,None,None,None,I am currently deepening experience in medicine and healthcare and I value thoughtful mentoring relationships.,In my free time I enjoy yoga and mindfulness.
Nicholas Johnson,Mentee,Graduate,nicholas.johnson141@cornell.edu,952-220-4727,Nan|Other,None,Cornell Tech (NYC),Work-Life Balance,Data and analytics,None,None,None,None,I have been deepening experience in data and analytics and I’m excited to learn from different perspectives.,In my free time I enjoy travel planning.
Rebecca Smith,Mentee,Graduate,rebecca.smith142@outlook.com,628.398.6143,Nan|Other,U.K.,None,Career Guidance,Health and wellness,None,None,None,None,I’m especially interested in researching health and wellness and I enjoy helping others think through next steps.,In my free time I enjoy baking.
Brandon Barnes,Mentee,Undergraduate,brandon.barnes143@gmail.com,+1-671-817-9808x932,Other|Nan,None,None,Networking,Medicine and healthcare,"Biotech, pharmaceutical, life sciences, and medical devices",None,None,None,I have been learning about medicine and healthcare and I value thoughtful mentoring relationships.,In my free time I enjoy yoga and mindfulness.
Morgan Williams,Mentee,Graduate,morgan.williams145@cornell.edu,(754)705-1531x9520,Nan|Graduate And Professional Student Assembly (Gpsa),East Coast U.S.,Cornell Tech (NYC),Career Guidance|Transitioning From Academia To Industry Or Navigating Career Changes,Engineering,"Finance, investment and financial services",None,None,None,I am currently transitioning within engineering and I’m excited to learn from different perspectives.,In my free time I enjoy music and live performances.
Lisa Thompson,Mentee,Graduate,lisa.thompson146@cornell.edu,001-677-822-1704x30305,Nan|Other,East Coast U.S.|NYC Area,None,Navigating The Workforce,IT and technology,None,None,None,None,I am currently deepening experience in it and technology and I’m excited to learn from different perspectives.,In my free time I enjoy student leadership.
Heather Richardson,Mentee,Undergraduate,heather.richardson149@gmail.com,641.661.6928x45115,Other|Nan,None,None,Navigating The Workforce|Networking,Business,"Biotech, pharmaceutical, life sciences, and medical devices",Corporate and general management,None,None,I’m especially interested in curious about business and would love to connect around career paths and community.,In my free time I enjoy student leadership.
Sean Robbins,Mentee,Graduate,sean.robbins150@outlook.com,(275)370-5964,Nan|Cornell Tech,None,College Of Engineering,None,Academia and research,None,None,None,None,My background is in deepening experience in academia and research and I’m excited to learn from different perspectives.,In my free time I enjoy volunteering with local nonprofits.
